Date,Tournament,Court Type,Player1,Player1_Rank,Player1_RankingPoints,Player2,Player2_Rank,Player2_RankingPoints,Best of Sets,ScoreProgression_Games,ScoreProgression_Sets,Player1_Aces,Player1_BreakpointsWon,Player1_DoubleFaults,Player1_FirstServePointsWon,Player1_FirstServeSuccessful,Player1_MaxPointsInARow,Player1_PointsWon,Player1_SecondServePointsWon,Player1_SecondServeSuccessful,Player1_ServiceGamesWon,Player1_ServicePointsLost,Player1_ServicePointsWon,Player1_TiebreaksWon,Player1_TotalBreakpoints,Player1_GamesWon,Player1_MaxGamesInARow,Player2_Aces,Player2_BreakpointsWon,Player2_DoubleFaults,Player2_FirstServePointsWon,Player2_FirstServeSuccessful,Player2_MaxPointsInARow,Player2_PointsWon,Player2_SecondServePointsWon,Player2_SecondServeSuccessful,Player2_ServiceGamesWon,Player2_ServicePointsLost,Player2_ServicePointsWon,Player2_TiebreaksWon,Player2_TotalBreakpoints,Player2_GamesWon,Player2_MaxGamesInARow
2024-05-11,Rome,red-clay,"Davidovich Fokina, Alejandro",33,1315,"Medjedovic, Hamad",121,522,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[0, 1], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]",1,2,1,31,52,4,68,15,24,8,31,46,0,5,10,2,10,3,4,29,39,6,77,17,25,9,22,46,1,7,13,3
2024-05-11,Rome,red-clay,"Hurkacz, Hubert",9,3730,"Nadal, Rafael",305,175,3,"[[[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]], [[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]",9,4,1,25,30,6,66,16,25,8,15,41,0,7,12,5,1,0,1,20,38,5,43,8,14,4,25,28,0,7,4,1
2024-05-11,Rome,red-clay,"Paul, Tommy",16,2300,"Karatsev, Aslan",86,675,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",3,3,2,29,43,7,67,16,22,9,22,45,0,4,12,5,1,0,1,20,33,4,55,13,21,6,22,33,0,9,6,1
2024-05-11,Rome,red-clay,"Shang, Juncheng",105,590,"Napolitano, Stefano",125,506,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6]], [[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6]]]","[[1, 0], [1, 1], [1, 2]]",1,1,2,28,45,5,67,11,25,6,33,39,1,3,8,3,3,6,3,35,45,8,90,22,37,12,28,57,0,9,18,11
2024-05-11,Rome,red-clay,"Koepfer, Dominik",52,932,"Tiafoe, Francis",25,1650,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",5,3,5,27,39,7,73,20,25,9,22,47,0,6,12,5,5,0,2,21,32,5,57,14,27,6,26,35,0,5,6,1
2024-05-11,Rome,red-clay,"Carballes Baena, Roberto",62,826,"Minaur, Alex De",11,3435,3,"[[[0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6]], [[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]]]","[[0, 1], [0, 2]]",1,2,5,14,35,4,39,9,16,3,33,23,0,4,5,3,4,6,3,20,27,12,64,11,17,6,16,31,0,13,12,6
2024-05-11,Rome,red-clay,"Draper, Jack",40,1136,"Medvedev, Daniil",4,7195,3,"[[[1, 0], [1, 1], [1, 2], [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [4, 5], [5, 5], [5, 6], [5, 7]], [[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [3, 5], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]",2,3,3,21,32,6,62,14,31,6,31,35,0,10,9,3,3,5,2,29,35,14,74,14,33,8,27,43,0,9,13,5
2024-05-11,Rome,red-clay,"Fils, Arthur",34,1251,"Muller, Alexandre",109,577,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [5, 5], [5, 6], [5, 7]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]",11,1,6,27,35,6,61,15,31,7,30,42,0,3,8,2,1,4,2,24,34,5,72,18,25,9,19,42,0,7,13,4
2024-05-11,Rome,red-clay,"Baez, Sebastian",19,1960,"Lajovic, Dusan",64,811,3,"[[[1, 0], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [5, 5], [6, 5], [6, 6], [7, 6]]]","[[1, 0], [2, 0]]",1,6,2,39,69,8,91,9,17,6,40,48,2,15,14,3,2,6,3,28,51,5,80,12,29,6,43,40,0,13,12,3
2024-05-11,Rome,red-clay,"Munar Clar, Jaume",68,805,"Norrie, Cameron",30,1350,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6]], [[1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [5, 1], [6, 1]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]]]","[[0, 1], [1, 1], [1, 2]]",5,4,3,26,42,8,86,15,22,8,26,41,0,15,12,4,4,4,5,38,59,4,82,18,37,9,45,56,0,7,13,5
