rank,name,points,bestPoints,RankingDate
176,Quentin Halys,1607,1844,30-11-2022
177,Zizou Bergs,1602,1675,30-11-2022
178,Emilio Gomez,1599,1744,30-11-2022
179,Jay Clarke,1580,1637,30-11-2022
180,Viktor Durasovic,1568,1640,30-11-2022
1,Novak Djokovic,2417,2629,29-11-2022
2,Rafael Nadal,2311,2552,29-11-2022
3,Alexander Zverev,2238,2303,29-11-2022
4,Carlos Alcaraz Garfia,2191,2344,29-11-2022
5,Daniil Medvedev,2185,2316,29-11-2022
6,Nick Kyrgios,2160,2176,29-11-2022
7,Stefanos Tsitsipas,2153,2258,29-11-2022
8,Casper Ruud,2134,2163,29-11-2022
9,Matteo Berrettini,2130,2173,29-11-2022
10,Felix Auger Aliassime,2124,2140,29-11-2022
11,Andrey Rublev,2122,2227,29-11-2022
12,Jannik Sinner,2117,2256,29-11-2022
13,Holger Vitus Nodskov Rune,2089,2146,29-11-2022
14,Taylor Fritz,2082,2134,29-11-2022
15,Hubert Hurkacz,2060,2099,29-11-2022
16,Cameron Norrie,2049,2105,29-11-2022
17,Karen Khachanov,2045,2137,29-11-2022
18,Alex De Minaur,2039,2083,29-11-2022
19,Frances Tiafoe,2038,2068,29-11-2022
20,Dominic Thiem,2036,2250,29-11-2022
21,Marin Cilic,2034,2232,29-11-2022
22,Pablo Carreno Busta,2030,2121,29-11-2022
23,Gael Monfils,2023,2189,29-11-2022
24,Borna Coric,2021,2102,29-11-2022
25,Roberto Bautista Agut,2013,2135,29-11-2022
26,Tommy Paul,2012,2066,29-11-2022
27,Denis Shapovalov,2011,2075,29-11-2022
28,Andy Murray,2007,2500,29-11-2022
29,Sebastian Korda,2007,2071,29-11-2022
30,John Isner,1995,2147,29-11-2022
31,Lorenzo Musetti,1988,1999,29-11-2022
32,Grigor Dimitrov,1985,2203,29-11-2022
33,Ilya Ivashka,1968,1987,29-11-2022
34,Botic Van De Zandschulp,1961,1998,29-11-2022
35,Miomir Kecmanovic,1956,1977,29-11-2022
36,Stan Wawrinka,1955,2291,29-11-2022
37,Daniel Evans,1954,2002,29-11-2022
38,Richard Gasquet,1954,2196,29-11-2022
39,Alexander Bublik,1950,1968,29-11-2022
40,Reilly Opelka,1950,2033,29-11-2022
41,Brandon Nakashima,1945,1958,29-11-2022
42,Diego Sebastian Schwartzman,1941,2097,29-11-2022
43,Mikael Ymer,1938,1938,29-11-2022
44,Filip Krajinovic,1936,2033,29-11-2022
45,Kevin Anderson,1928,2181,29-11-2022
46,Jack Draper,1922,1977,29-11-2022
47,Yoshihito Nishioka,1921,1977,29-11-2022
48,Corentin Moutet,1921,1921,29-11-2022
49,Christian Garin,1918,2010,29-11-2022
50,Jenson Brooksby,1915,1984,29-11-2022
51,Emil Ruusuvuori,1914,1963,29-11-2022
52,Alejandro Davidovich Fokina,1913,1998,29-11-2022
53,David Goffin,1910,2165,29-11-2022
54,Adrian Mannarino,1894,2004,29-11-2022
55,Jeffrey John Wolf,1894,1926,29-11-2022
56,Arthur Rinderknech,1894,1909,29-11-2022
57,Maxime Cressy,1893,1928,29-11-2022
58,Marcos Giron,1891,1934,29-11-2022
59,Alex Molcan,1888,1941,29-11-2022
60,Francisco Cerundolo,1887,2014,29-11-2022
61,Vasek Pospisil,1880,1987,29-11-2022
62,Lloyd George Muirhead Harris,1880,1988,29-11-2022
63,Mackenzie Mcdonald,1879,1944,29-11-2022
64,Soon Woo Kwon,1875,1929,29-11-2022
65,Jo Wilfried Tsonga,1871,2244,29-11-2022
66,Thanasi Kokkinakis,1870,1914,29-11-2022
67,Marton Fucsovics,1868,2018,29-11-2022
68,Jan Lennard Struff,1867,2037,29-11-2022
69,Albert Ramos,1867,2014,29-11-2022
70,Gilles Simon,1867,2124,29-11-2022
71,Daniel Elahi Galan Riveros,1865,1871,29-11-2022
72,Lorenzo Sonego,1862,1996,29-11-2022
73,Jack Sock,1861,2144,29-11-2022
74,Fabio Fognini,1859,2112,29-11-2022
75,Laslo Djere,1857,1945,29-11-2022
76,Kyle Edmund,1855,2038,29-11-2022
77,Steve Johnson,1853,2042,29-11-2022
78,Philipp Kohlschreiber,1846,2117,29-11-2022
79,Ugo Humbert,1842,2002,29-11-2022
80,Roberto Carballes Baena,1837,1886,29-11-2022
81,Pierre Hugues Herbert,1835,1989,29-11-2022
82,Roman Safiullin,1834,1940,29-11-2022
83,Marc Andrea Huesler,1832,1849,29-11-2022
84,Jordan Thompson,1832,1908,29-11-2022
85,Ricardas Berankis,1831,1914,29-11-2022
86,Oscar Otte,1829,1917,29-11-2022
87,Tim Van Rijthoven,1825,1870,29-11-2022
88,Dominik Koepfer,1822,1920,29-11-2022
89,Yannick Hanfmann,1819,1920,29-11-2022
90,Jiri Vesely,1818,1952,29-11-2022
91,Federico Coria,1818,1839,29-11-2022
92,Elias Ymer,1817,1817,29-11-2022
93,Jason Kubler,1816,1880,29-11-2022
94,Alejandro Tabilo,1816,1834,29-11-2022
95,Hugo Gaston,1815,1891,29-11-2022
96,Sebastian Baez,1814,1944,29-11-2022
97,Benjamin Bonzi,1814,1893,29-11-2022
98,Jaume Munar,1814,1866,29-11-2022
99,Egor Gerasimov,1812,1932,29-11-2022
100,James Duckworth,1807,1887,29-11-2022
101,Lucas Pouille,1807,2069,29-11-2022
102,Pablo Andujar,1806,1929,29-11-2022
103,Liam Broady,1806,1822,29-11-2022
104,Pedro Martinez Portero,1806,1926,29-11-2022
105,Nikoloz Basilashvili,1805,1990,29-11-2022
106,John Millman,1801,1954,29-11-2022
107,Sam Querrey,1799,2068,29-11-2022
108,Radu Albot,1798,1936,29-11-2022
109,Sebastian Ofner,1796,1871,29-11-2022
110,Aljaz Bedene,1796,1939,29-11-2022
111,Dominic Stephan Stricker,1796,1873,29-11-2022
112,Pablo Cuevas,1795,2004,29-11-2022
113,Alex Bolt,1795,1846,29-11-2022
114,Thiago Monteiro,1794,1846,29-11-2022
115,Aslan Karatsev,1794,1998,29-11-2022
116,Kamil Majchrzak,1793,1810,29-11-2022
117,Marco Cecchinato,1792,1953,29-11-2022
118,Tomas Machac,1792,1806,29-11-2022
119,Juan Manuel Cerundolo,1792,1807,29-11-2022
120,Constant Lestienne,1788,1833,29-11-2022
121,Bernabe Zapata Miralles,1787,1876,29-11-2022
122,Aleksandar Vukic,1785,1828,29-11-2022
123,Tennys Sandgren,1783,1940,29-11-2022
124,Dusan Lajovic,1781,1962,29-11-2022
125,Tallon Griekspoor,1780,1961,29-11-2022
126,Taro Daniel,1778,1882,29-11-2022
127,Nicolas Jarry,1776,1992,29-11-2022
128,Jurij Rodionov,1772,1790,29-11-2022
129,Gregoire Barrere,1768,1873,29-11-2022
130,Fernando Verdasco,1766,2204,29-11-2022
131,Damir Dzumhur,1765,1994,29-11-2022
132,Andreas Seppi,1764,2030,29-11-2022
133,Christopher Oconnell,1764,1854,29-11-2022
134,Pedro Cachin,1760,1870,29-11-2022
135,Juan Pablo Varillas Patino Samudio,1759,1845,29-11-2022
136,Gianluca Mager,1759,1817,29-11-2022
137,Borna Gojo,1758,1856,29-11-2022
138,Max Purcell,1757,1834,29-11-2022
139,Peter Gojowczyk,1756,1935,29-11-2022
140,Christopher Eubanks,1752,1932,29-11-2022
141,Federico Delbonis,1750,1953,29-11-2022
142,Nuno Borges,1749,1785,29-11-2022
143,Hugo Dellien,1746,1781,29-11-2022
144,Denis Kudla,1745,1855,29-11-2022
145,Yibing Wu,1744,1850,29-11-2022
146,Antoine Bellier,1743,1743,29-11-2022
147,Malek Jaziri,1740,1922,29-11-2022
148,Alexei Popyrin,1737,1916,29-11-2022
149,Joao Sousa,1736,1974,29-11-2022
150,Carlos Taberner,1732,1796,29-11-2022
151,Maximilian Marterer,1730,1888,29-11-2022
152,Facundo Bagnis,1730,1804,29-11-2022
153,Norbert Gombos,1729,1837,29-11-2022
154,Stefano Travaglia,1728,1879,29-11-2022
155,Mitchell Krueger,1727,1734,29-11-2022
156,Henri Laaksonen,1726,1852,29-11-2022
157,Yosuke Watanuki,1726,1819,29-11-2022
158,Zhizhen Zhang,1725,1890,29-11-2022
159,Stefan Kozlov,1717,1764,29-11-2022
160,Mikhail Kukushkin,1715,1943,29-11-2022
161,Juan Ignacio Londero,1711,1901,29-11-2022
162,Nikola Milojevic,1711,1736,29-11-2022
163,Jiri Lehecka,1711,1962,29-11-2022
164,Christian Harrison,1708,1729,29-11-2022
165,Mirza Basic,1705,1905,29-11-2022
166,Jozef Kovalik,1705,1806,29-11-2022
167,Michael Mmoh,1695,1866,29-11-2022
168,Dennis Novak,1693,1802,29-11-2022
169,Hugo Grenier,1689,1753,29-11-2022
170,Daniel Altmaier,1674,1826,29-11-2022
171,Tomas Martin Etcheverry,1657,1932,29-11-2022
172,Chun Hsin Tseng,1656,1660,29-11-2022
173,Benoit Paire,1655,2003,29-11-2022
174,Feliciano Lopez,1633,2074,29-11-2022
175,Ramkumar Ramanathan,1629,1808,29-11-2022
176,Quentin Halys,1607,1844,29-11-2022
177,Zizou Bergs,1602,1675,29-11-2022
178,Emilio Gomez,1599,1744,29-11-2022
179,Jay Clarke,1580,1637,29-11-2022
180,Viktor Durasovic,1568,1640,29-11-2022
1,Novak Djokovic,2417,2629,20-11-2022
2,Rafael Nadal,2311,2552,20-11-2022
3,Alexander Zverev,2238,2303,20-11-2022
4,Carlos Alcaraz Garfia,2191,2344,20-11-2022
5,Daniil Medvedev,2185,2316,20-11-2022
6,Nick Kyrgios,2160,2176,20-11-2022
7,Stefanos Tsitsipas,2153,2258,20-11-2022
8,Casper Ruud,2134,2163,20-11-2022
9,Matteo Berrettini,2130,2173,20-11-2022
10,Felix Auger Aliassime,2124,2140,20-11-2022
11,Andrey Rublev,2122,2227,20-11-2022
12,Jannik Sinner,2117,2256,20-11-2022
13,Holger Vitus Nodskov Rune,2089,2146,20-11-2022
14,Taylor Fritz,2082,2134,20-11-2022
15,Hubert Hurkacz,2060,2099,20-11-2022
16,Cameron Norrie,2049,2105,20-11-2022
17,Karen Khachanov,2045,2137,20-11-2022
18,Frances Tiafoe,2038,2068,20-11-2022
19,Dominic Thiem,2036,2250,20-11-2022
20,Marin Cilic,2034,2232,20-11-2022
21,Alex De Minaur,2031,2083,20-11-2022
22,Pablo Carreno Busta,2030,2121,20-11-2022
23,Gael Monfils,2023,2189,20-11-2022
24,Borna Coric,2021,2102,20-11-2022
25,Roberto Bautista Agut,2013,2135,20-11-2022
26,Tommy Paul,2012,2066,20-11-2022
27,Denis Shapovalov,2011,2075,20-11-2022
28,Andy Murray,2007,2500,20-11-2022
29,Sebastian Korda,2007,2071,20-11-2022
30,John Isner,1995,2147,20-11-2022
31,Lorenzo Musetti,1988,1999,20-11-2022
32,Grigor Dimitrov,1985,2203,20-11-2022
33,Botic Van De Zandschulp,1968,1998,20-11-2022
34,Ilya Ivashka,1968,1987,20-11-2022
35,Miomir Kecmanovic,1956,1977,20-11-2022
